100349	sättsadverbial		adverbial
100349	tidsadverbial		adverbial
100350	adverbiell	 adj.	adverbiell
100351	advers	 subst.	advers
100352	adversativ	 adj.	adversativ
100353	advokat	 subst.	advokat
100353	advokatbyrå		advokat
100353	advokatsamfund		advokat
100353	brottmålsadvokat		advokat
100353	brännvinsadvokat		advokat
100356	advokatorisk	 adj.	advokatorisk
100358	advokatyr	 subst.	advokatyr
100359	aero-	 förled	aero-
100359	aerodynamik		aero-
100359	aerogram		aero-
100359	aerologi		aero-
100360	aerob	 adj.	aerob
100361	aerobics	 subst.	aerobics
100362	aerobisk	 adj.	aerobisk
100363	aerodrom	 subst.	aerodrom
100364	aerodynamik	 subst.	aerodynamik
100367	aerodynamisk	 adj.	aerodynamisk
100368	aerogram	 subst.	aerogram
100370	aerologi	 subst.	aerologi
100372	aeronaut	 subst.	aeronaut
100373	aeronautik	 subst.	aeronautik
100374	aerosol	 subst.	aerosol
100374	aerosolförpackning		aerosol
100374	aerosolgas		aerosol
100374	aerosolspray		aerosol
100378	aerostatik	 subst.	aerostatik
100379	afasi	 subst.	afasi
100380	afatiker	 subst.	afatiker
100381	afatisk	 adj.	afatisk
100382	affekt	 subst.	affekt
100382	affektladdad		affekt
100383	affekterad	 adj.	affekterad
100384	affektion	 subst.	affektion
100384	affektionsvärde		affektion
100384	lungaffektion		affektion
100385	affektionsvärde	 subst.	affektionsvärde
100388	affektiv	 adj.	affektiv
100391	afferent	 adj.	afferent
100392	afficiera	 verb	afficiera
100393	affidavit	 subst.	affidavit
100394	affin	 adj.	affin
100395	affinitet	 subst.	affinitet
100396	affirmation	 subst.	affirmation
100397	affirmativ	 adj.	affirmativ
100398	affirmera	 verb	affirmera
100399	affisch	 subst.	affisch
100399	affischpelare		affisch
100399	reklamaffisch		affisch
100399	valaffisch		affisch
100400	affischera	 verb	affischera
100400	affischör		affischera
100401	affischering	 subst.	affischering
100402	affischnamn	 subst.	affischnamn
100403	affischpelare	 subst.	affischpelare
100406	affix	 subst.	affix
100407	affrikata	 subst.	affrikata
100408	affär	 subst.	affär
100408	affärsbegåvning		affär
100408	affärsbrev		affär
100408	affärsgata		affär
100408	affärskvinna		affär
100408	affärsman		affär
